datadate,aco,act,ap,che,dlc,invt,lco,lct,rect,sales
12/31/1998,23.823,225.271,147.967,9.227,16.35,6.917,41.724,206.041,185.304,1841.628
12/31/1999,36.137,295.141,180.009,12.606,60,7.825,30.621,270.63,238.573,2045.073
12/31/2000,92.571,330.971,158.585,5.37,100.889,7.233,65.8,325.274,225.797,2160.447
12/31/2001,93.393,384.799,163.291,49.245,38.426,8.915,64.117,265.834,233.246,2100.305
12/31/2002,105.882,433.181,117.931,80.628,124.148,9.515,83.25,325.329,237.156,2247.886
12/31/2003,97.103,423.004,158.886,61.229,171.777,8.64,94.987,425.65,256.032,2433.469
12/31/2004,121.948,464.042,180.018,23.838,0,9.692,128.203,308.221,308.564,2786.154
12/31/2005,112.639,474.69,162.749,7.412,0,11.138,111.437,276.086,343.501,3127.899
12/31/2006,91.876,471.243,170.672,7.371,214,13.921,94.058,478.73,358.075,3327.987
12/31/2007,128.29,488.894,189.987,14.957,234,15.445,90.545,524.432,330.202,3489.899
12/31/2008,95.086,396.287,196.059,2.373,118.5,18.214,78.629,407.888,280.614,3731.943
12/31/2009,57.01,392.465,191.347,7.843,0,17.273,79.771,269.218,310.339,3203.321
12/31/2010,63.171,462.645,192.103,7.651,200,17.336,117.846,509.949,374.487,3793.485
12/31/2011,61.481,513.542,251.625,5.45,50,20.932,136.89,438.515,425.679,4526.842
12/31/2012,57.467,554.532,266.722,5.589,100,23.065,136.038,502.76,468.411,5054.98
12/31/2013,72.105,680.203,305.465,5.831,250,26.248,156.831,712.296,576.019,5584.571
12/31/2014,112.834,880.13,325.838,5.961,250,27.74,195.232,771.07,733.595,6165.441
12/31/2015,99.368,859.367,340.332,5.566,0,23.191,192.085,532.417,731.242,6187.646
12/31/2016,107.513,945.681,384.308,6.377,0,18.577,188.826,573.134,813.214,6555.459
12/31/2017,99.162,1338.728,598.594,14.612,0,20.688,323.25,921.844,1204.266,7189.568
12/31/2018,147.195,1502.981,709.736,7.6,250.706,21.977,391.906,1352.348,1326.209,8614.874
12/31/2019,183.033,1481.299,602.601,35,44.4,21.106,388.765,1035.766,1242.16,9165.258
12/31/2020,194.759,1842.117,587.51,313.302,48.3,23.804,448.993,1084.803,1310.252,9636.573
12/31/2021,209.554,2313.369,772.736,355.549,414.172,25.032,542.692,1729.6,1723.234,12168.302
12/31/2022,84.41,2211.778,798.776,51.927,86,40.602,683.455,1568.231,2034.839,14813.999
